Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
65,Scott Kuzminsky,25,WCT,Ind,,3,2,0.6,1.42,1.71,32,0,6,0,0,1,31.2,23,6,5,0,12,3,42,0,0,2,130,1.105,6.5,0.0,3.4,11.9,3.5
66,Chad Gendron,24,NRMGAT,Ind,,3,2,0.6,1.47,2.09,29,0,8,0,0,5,43.0,25,10,7,1,17,0,35,6,1,4,174,0.977,5.2,0.2,3.6,7.3,2.06
67,Kyle Westwood,26,SCH,Ind,,3,1,0.75,2.06,2.29,31,0,7,0,0,3,39.1,34,10,9,3,13,1,36,1,0,1,164,1.195,7.8,0.7,3.0,8.2,2.77
68,John Werner,25,SOI,Ind,,3,1,0.75,2.27,2.72,38,0,33,0,0,21,39.2,20,12,10,3,18,0,54,2,0,5,158,0.958,4.5,0.7,4.1,12.3,3.0
69,Logan Longwith,23,FLR,Ind,,3,0,1.0,2.45,2.45,4,3,0,0,0,0,22.0,14,6,6,2,5,0,13,2,0,2,82,0.864,5.7,0.8,2.0,5.3,2.6
70,Anthony Herrera,22,NRM,Ind,,3,0,1.0,2.67,3.0,18,0,6,0,0,0,27.0,21,9,8,2,8,0,18,2,0,0,111,1.074,7.0,0.7,2.7,6.0,2.25
71,Cody Mincey,25,RIVWCT,Ind,,3,2,0.6,2.81,3.67,40,0,27,0,0,11,41.2,34,17,13,2,24,1,50,7,0,2,186,1.392,7.3,0.4,5.2,10.8,2.08
72,Austin Dubsky,22,SOI,Ind,,3,1,0.75,3.02,3.19,27,2,6,0,0,0,53.2,42,19,18,3,24,0,58,1,0,2,223,1.23,7.0,0.5,4.0,9.7,2.42
73,Mike Elwood,24,GAT,Ind,,3,1,0.75,3.05,3.2,42,0,16,0,0,1,59.0,52,21,20,3,24,1,70,4,0,4,247,1.288,7.9,0.5,3.7,10.7,2.92
74,Alec Kenilvort,24,SCH,Ind,,3,1,0.75,3.1,3.54,19,0,12,0,0,7,20.1,18,8,7,1,6,0,27,0,0,3,87,1.18,8.0,0.4,2.7,12.0,4.5
75,Nick Deeg*,22,LEC,Ind,,3,3,0.5,3.13,3.38,7,7,0,0,0,0,37.1,25,14,13,2,17,0,31,6,0,3,156,1.125,6.0,0.5,4.1,7.5,1.82
76,Brian O'Keefe*,25,WST,Ind,,3,5,0.375,3.96,4.46,18,12,4,0,0,0,72.2,78,36,32,8,27,1,65,4,1,4,320,1.445,9.7,1.0,3.3,8.1,2.41
77,Conrad Wozniak,23,SCHJOL,Ind,,3,3,0.5,4.01,4.32,17,17,0,0,0,0,89.2,88,43,40,7,37,0,57,2,0,2,389,1.394,8.8,0.7,3.7,5.7,1.54
78,Reinaldo Lopez,26,TCY,Ind,,3,11,0.214,4.19,4.7,19,17,1,3,0,0,105.1,120,55,49,3,35,0,56,4,0,3,471,1.472,10.3,0.3,3.0,4.8,1.6
79,Brian Bayliss,22,TCY,Ind,,3,6,0.333,4.42,5.64,10,10,0,0,0,0,59.0,58,37,29,6,17,0,39,2,2,3,254,1.271,8.8,0.9,2.6,5.9,2.29
80,Chandler Jagodzinski,26,LEC,Ind,,3,5,0.375,4.46,4.98,34,0,32,0,0,18,34.1,46,19,17,1,9,6,31,3,0,2,152,1.602,12.1,0.3,2.4,8.1,3.44
81,Keivan Berges,25,FLR,Ind,,3,1,0.75,4.5,5.06,16,0,7,0,0,1,16.0,23,9,8,1,3,1,11,1,0,0,75,1.625,12.9,0.6,1.7,6.2,3.67
82,Enrique Zamora,23,FLR,Ind,,3,1,0.75,4.6,5.55,24,4,8,0,0,3,47.0,47,29,24,7,25,3,40,5,0,1,214,1.532,9.0,1.3,4.8,7.7,1.6
83,Connor Reed*,23,LEC,Ind,,3,6,0.333,4.75,5.27,18,12,5,0,0,2,85.1,101,50,45,11,21,0,70,1,0,4,375,1.43,10.7,1.2,2.2,7.4,3.33
84,JaVaun West,27,GAT,Ind,,3,8,0.273,4.93,5.45,26,13,4,0,0,0,104.0,109,63,57,12,38,2,102,9,3,7,461,1.413,9.4,1.0,3.3,8.8,2.68
85,Edgar De La Rosa,26,NRM,Ind,,3,6,0.333,4.97,5.09,14,14,0,1,0,0,76.0,78,43,42,10,31,0,60,6,0,2,334,1.434,9.2,1.2,3.7,7.1,1.94
86,Diego Ibarra,25,EVNLEC,Ind,,3,3,0.5,5.96,6.52,9,9,0,0,0,0,48.1,59,35,32,7,19,0,42,2,0,4,219,1.614,11.0,1.3,3.5,7.8,2.21
87,Austin Sweet,23,EVNGATLEC,Ind,,3,3,0.5,6.49,6.75,27,0,8,0,0,1,34.2,35,26,25,1,19,1,28,2,1,2,153,1.558,9.1,0.3,4.9,7.3,1.47
88,Tyler House*,24,JOL,Ind,,3,3,0.5,6.52,7.18,16,12,1,0,0,0,67.2,96,54,49,10,22,0,42,4,0,4,319,1.744,12.8,1.3,2.9,5.6,1.91
89,TJ Santiago,22,WCT,Ind,,3,4,0.429,6.59,6.91,13,9,1,0,0,0,54.2,73,42,40,11,14,0,45,1,1,2,246,1.591,12.0,1.8,2.3,7.4,3.21
90,Alec Kisena,21,GAT,Ind,,3,5,0.375,6.62,7.28,13,13,0,0,0,0,68.0,77,55,50,11,36,2,59,5,2,4,321,1.662,10.2,1.5,4.8,7.8,1.64
91,Ryan Etsell,25,EVN,Ind,,2,2,0.5,2.42,2.77,5,5,0,0,0,0,26.0,23,8,7,2,10,0,18,1,0,2,108,1.269,8.0,0.7,3.5,6.2,1.8
92,Jake Joyce,25,SCH,Ind,,2,3,0.4,2.68,2.9,40,0,35,0,0,16,40.1,25,13,12,5,27,2,65,0,0,5,176,1.289,5.6,1.1,6.0,14.5,2.41
93,Francisco Carrillo,27,NRM,Ind,,2,6,0.25,3.26,4.19,32,0,17,0,0,3,38.2,37,18,14,6,17,4,47,3,0,0,174,1.397,8.6,1.4,4.0,10.9,2.76
94,Trevor Bradley,24,WST,Ind,,2,3,0.4,3.6,4.05,21,3,7,0,0,1,40.0,46,18,16,5,21,0,35,0,0,0,185,1.675,10.4,1.1,4.7,7.9,1.67
95,Ken Knudsen,24,TCY,Ind,,2,0,1.0,4.18,5.23,34,1,7,0,0,0,51.2,49,30,24,4,30,0,44,2,1,6,232,1.529,8.5,0.7,5.2,7.7,1.47
96,Tyler Garkow,26,WST,Ind,,2,1,0.667,4.22,4.64,4,3,0,0,0,0,21.1,17,11,10,3,4,0,26,0,0,0,86,0.984,7.2,1.3,1.7,11.0,6.5
97,Manny Arciniega,24,LEC,Ind,,2,1,0.667,5.13,5.96,26,1,13,0,0,1,54.1,58,36,31,11,16,1,54,2,0,5,235,1.362,9.6,1.8,2.7,8.9,3.38
98,Hasten Freeman,23,EVN,Ind,,2,1,0.667,5.17,5.46,19,3,3,0,0,1,31.1,35,19,18,2,21,0,27,1,0,3,142,1.787,10.1,0.6,6.0,7.8,1.29
99,Jonathan de Marte,24,NRM,Ind,,2,1,0.667,5.53,5.53,20,0,5,0,0,0,27.2,23,17,17,0,13,1,36,1,0,2,118,1.301,7.5,0.0,4.2,11.7,2.77
100,Will Anderson,24,GAT,Ind,,2,14,0.125,5.86,6.67,20,19,1,0,0,0,110.2,138,82,72,14,51,0,69,8,1,8,510,1.708,11.2,1.1,4.1,5.6,1.35
