Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
XOM,ExxonMobil,Integrated Oil & Gas,165.99,21.362936,0.0248,7.77,110.39,176.41,682536271872.0,67937001472.0,1.890368,2.6314204,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
JPM,JPMorgan Chase,Diversified Banks,356.23,15.269182,0.017,23.33,279.1,366.5,946925731840.0,,5.0820365,2.67828,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM
MSFT,Microsoft,Systems Software,495.63,27.62709,0.0073,17.94,349.2,553.72,3680323239936.0,194237005824.0,11.090689,8.320827,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT
NVDA,Nvidia,Semiconductors,218.29,27.631645,0.0046,7.9,164.27,236.54,5271048421376.0,201266003968.0,17.39792,23.019087,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA
TSLA,"Tesla, Inc.",Automobile Manufacturers,365.44,332.21817,,1.1,297.38,498.83,1443322658816.0,10755000320.0,13.929131,16.614685,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSLA
META,Meta Platforms,Interactive Media & Services,648.03,24.389538,0.0033,26.57,520.26,790.8,1650860490752.0,109654999040.0,7.232781,6.321011,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=META
V,Visa Inc.,Transaction & Payment Processing Services,370.45,31.554516,0.0072,11.74,293.89,385.57,691647676416.0,31093999616.0,15.546837,19.631691,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V
WMT,Walmart,Consumer Staples Merchandise Retail,107.15,38.822464,0.0092,2.76,98.88,135.16,850100944896.0,44073000960.0,1.1552796,9.043721,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
JNJ,Johnson & Johnson,Pharmaceuticals,265.58,30.774042,0.0201,8.63,173.33,281.07,640020840448.0,34872000512.0,6.5355597,7.526924,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
PG,Procter & Gamble,Personal Care Products,145.27,21.944109,0.03,6.62,137.62,167.25,337670406144.0,24752001024.0,3.879842,6.330675,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
UNH,UnitedHealth Group,Managed Health Care,379.09,24.394466,0.0239,15.54,255.97,461.62,340269203456.0,26680999936.0,0.75527096,3.4848917,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
HD,Home Depot (The),Home Improvement Retail,308.74,21.620447,0.0302,14.28,289.1,426.75,308026671104.0,24647999488.0,1.8207468,18.542942,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
DIS,Walt Disney Company (The),Movies & Entertainment,106.55,21.969072,0.0141,4.85,92.19,117.09,183978491904.0,20963000320.0,1.8609815,1.6752619,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
PYPL,PayPal,Transaction & Payment Processing Services,53.72,10.15501,0.0104,5.29,38.46,79.215,46306639872.0,6456000000.0,1.3568519,2.3363633,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PYPL
PFE,Pfizer,Pharmaceuticals,27.72,36.473682,0.062,0.76,23.58,29.21,157994942464.0,25383000064.0,2.4804533,1.8544286,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE
PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages,136.32,17.866318,0.0433,7.63,133.73,171.48,186213122048.0,18882000896.0,1.9216247,8.426779,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP
GS,Goldman Sachs,Investment Banking & Brokerage,1029.18,15.897128,0.0194,64.74,740.01,1153.99,299667783680.0,,4.4349236,2.842654,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
