Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
CDNS,Cadence Design Systems,Application Software,289.37,57.41468,,5.04,262.75,416.69,79812878336.0,2155915008.0,13.672154,11.620352,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CZR,Caesars Entertainment,Casinos & Gaming,29.67,,,-2.27,17.86,30.88,6046074368.0,3459000064.0,0.51906544,1.7933993,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR
CPT,Camden Property Trust,Multi-Family Residential REITs,103.01,33.9967,0.0414,3.03,96.53,119.81,10356558848.0,893971008.0,6.5470433,2.7782724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT
CPB,Campbell Soup Company,Packaged Foods & Meats,21.0,16.030535,0.0476,1.31,19.56,34.17,6262330880.0,1623000064.0,0.64268583,1.6255128,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One,Consumer Finance,208.3,11.482911,0.0154,18.14,174.24,259.64,127792062464.0,,2.6562476,1.2409225,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health,Health Care Distributors,234.57,32.488922,0.0088,7.22,145.87,258.3,54555291648.0,4244000000.0,0.21457511,-18.958216,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,CarMax,Automotive Retail,61.32,38.086956,,1.61,30.26,65.28,8701988864.0,1031401024.0,0.3086084,1.4222099,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,Carnival,"Hotels, Resorts & Cruise Lines",22.75,10.247747,0.0198,2.22,22.28,34.03,31159517184.0,7302000128.0,1.1409146,2.406898,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CARR,Carrier Global,Building Products,57.46,41.04286,0.0169,1.4,50.24,76.76,47725150208.0,3092999936.0,2.1587276,3.6058989,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,818.57,35.207314,0.008,23.25,430.61,1073.46,376276058112.0,16250999808.0,5.035208,19.400612,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,Cboe Global Markets,Financial Exchanges & Data,281.04,21.887852,0.012,12.84,227.15,371.18,29349294080.0,1930700032.0,5.7987657,5.2231126,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBRE,CBRE Group,Real Estate Services,140.51,32.153316,,4.37,121.69,174.27,40688222208.0,2214000128.0,0.9308463,4.8495197,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE
CDW,CDW,Technology Distributors,153.79,18.484375,0.0164,8.32,97.12,169.2,19226429440.0,2010899968.0,0.818132,7.8907127,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW
COR,Cencora,Health Care Distributors,321.57,23.87305,0.0075,13.47,244.82,377.54,61364293632.0,5546476032.0,0.18440379,20.11321,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR
CNP,CenterPoint Energy,Multi-Utilities,39.11,23.279762,0.0245,1.68,37.22,45.26,25762549760.0,3854000128.0,2.6780198,2.1980555,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CF,CF Industries,Fertilizers & Agricultural Chemicals,133.07,9.871662,0.018,13.48,75.42,141.96,20138565632.0,3872999936.0,2.6022182,3.509508,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,107.25,19.53552,0.0119,5.49,83.96,114.53,185471254528.0,,7.126657,4.218621,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,Charter Communications,Cable & Satellite,145.77,3.794118,,38.42,111.55,285.82,19646515200.0,21814999040.0,0.36117575,1.0256681,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CVX,Chevron Corporation,Integrated Oil & Gas,214.06,20.62235,0.0333,10.38,146.49,217.4,419900817408.0,50661998592.0,2.0054102,2.2113636,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,Chipotle Mexican Grill,Restaurants,36.2,33.518517,,1.08,28.04,42.82,45808132096.0,2275020032.0,3.6871395,20.864553,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,Chubb Limited,Property & Casualty Insurance,338.25,11.990429,0.012,28.21,265.3,365.91,130496806912.0,14883000320.0,2.1083238,1.7306217,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,Church & Dwight,Household Products,94.15,30.176283,0.0131,3.12,81.33,106.04,22332747776.0,1354800000.0,3.5852287,5.134988,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,Cigna,Health Care Services,280.76,11.616054,0.0222,24.17,239.51,315.47,74188161024.0,12757999616.0,0.2627227,1.7371291,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
CINF,Cincinnati Financial,Property & Casualty Insurance,169.8,8.016997,0.0221,21.18,150.0,194.81,26060572672.0,4365000192.0,1.8676059,1.5624281,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS,Cintas,Diversified Support Services,201.5,40.955284,0.0103,4.92,161.16,219.17,80634167296.0,2994993920.0,7.1580896,15.687037,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO,Cisco,Communications Equipment,112.13,33.672672,0.015,3.33,66.35,130.37,442082263040.0,18641999872.0,6.981165,8.79934,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C,Citigroup,Diversified Banks,138.82,14.975189,0.0193,9.27,93.66,147.96,232861794304.0,,2.849787,1.2098869,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG,Citizens Financial Group,Regional Banks,70.48,15.35512,0.0261,4.59,47.955,75.33,29684541440.0,,3.6373658,1.2375551,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CLX,Clorox,Household Products,87.76,18.245323,0.057,4.81,84.7,128.9,10612905984.0,1140000000.0,1.5793015,117.95699,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
CME,CME Group,Financial Exchanges & Data,275.54,23.370653,0.0189,11.79,218.31,329.16,99078471680.0,4771100160.0,14.662652,3.732795,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS,CMS Energy,Multi-Utilities,67.15,20.225904,0.034,3.32,66.995,80.36,20743952384.0,3017999872.0,2.3537903,2.2050374,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,88.29,26.513514,0.024,3.33,65.35,92.49,379872051200.0,16997999616.0,7.5778904,10.509463,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH,Cognizant,IT Consulting & Other Services,60.0,12.875537,0.022,4.66,37.08,87.03,28380000256.0,4036000000.0,1.311339,1.8752344,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL,Colgate-Palmolive,Household Products,86.8,34.17323,0.0241,2.54,74.55,99.33,69194604544.0,4983000064.0,3.2876234,293.24326,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA,Comcast,Cable & Satellite,25.2,8.076923,0.0524,3.12,21.28,32.86,89425649664.0,34072999936.0,0.7159551,0.9956145,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CAG,Conagra Brands,Packaged Foods & Meats,14.6,,0.0839,-4.0,12.53,20.32,6987058176.0,1741600000.0,0.6193322,1.0989839,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
COP,ConocoPhillips,Oil & Gas Exploration & Production,137.35,18.192053,0.0245,7.55,85.57,138.89,165003706368.0,26780000256.0,2.559824,2.5249555,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED,Consolidated Edison,Multi-Utilities,106.46,17.509869,0.033,6.08,94.96,116.23,39371956224.0,6161999872.0,2.2257876,1.5315561,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ,Constellation Brands,Distillers & Vintners,122.45,11.673022,0.0333,10.49,120.25,168.6,20914993152.0,3455800064.0,2.3093393,2.543253,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
CEG,Constellation Energy,Electric Utilities,284.75,27.862034,0.006,10.22,228.63,412.7,100889026560.0,7952000000.0,3.226384,3.163924,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEG
COO,Cooper Companies (The),Health Care Supplies,53.91,18.525772,,2.91,51.01,89.83,10251272192.0,932000000.0,2.4195218,1.2305409,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
CPRT,Copart,Diversified Support Services,29.95,19.322582,,1.55,26.81,48.77,28851087360.0,1961246976.0,6.2194257,3.1602829,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPRT
GLW,Corning Inc.,Electronic Components,166.4,77.03703,0.0067,2.16,76.15,271.78,143043723264.0,4084999936.0,8.432193,12.003174,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
CPAY,Corpay,Transaction & Payment Processing Services,408.22,24.815804,,16.45,252.84,427.46,26803562496.0,2798278912.0,5.3388214,7.5670567,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPAY
CTVA,Corteva,Fertilizers & Agricultural Chemicals,83.9,50.848488,0.0086,1.65,60.535,90.97,55977746432.0,4275000064.0,3.1426983,2.224343,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTVA
CSGP,CoStar Group,Real Estate Services,30.46,169.22221,,0.18,25.89,90.72,12342318080.0,394000000.0,3.470843,1.5544782,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSGP
COST,Costco,Consumer Staples Merchandise Retail,904.77,45.46583,0.0065,19.9,844.06,1096.5,401246322688.0,13790000128.0,1.3667034,24.270884,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
CRWD,CrowdStrike,Systems Software,206.74,5168.5005,,0.04,85.68,233.88,211688292352.0,106861000.0,39.22954,41.489067,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD
CCI,Crown Castle,Telecom Tower REITs,75.62,30.865307,0.0575,2.45,69.72,100.5,32172941312.0,2689999872.0,7.732022,-9.851485,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
CSX,CSX Corporation,Rail Transportation,48.95,28.459303,0.0114,1.72,32.18,53.6,90678648832.0,6831000064.0,6.248529,6.439095,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,556.75,28.492834,0.016,19.54,400.72,737.76,76825419776.0,5020000256.0,2.2134786,5.965967,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS,CVS Health,Health Care Services,94.66,24.976255,0.0279,3.79,69.51,110.68,121067339776.0,16679999488.0,0.29339346,1.5178386,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI,D. R. Horton,Homebuilding,137.89,13.1449,0.0131,10.49,131.75,177.58,38568009728.0,4127399936.0,1.1564621,1.6251414,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR,Danaher Corporation,Life Sciences Tools & Services,200.14,35.739285,0.008,5.6,160.93,242.8,140695633920.0,8028000256.0,5.6038413,2.675454,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI,Darden Restaurants,Restaurants,209.89,20.12368,0.0309,10.43,169.0,229.76,23831279616.0,2115000064.0,1.8039103,10.846468,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA,DaVita,Health Care Services,181.55,15.385593,,11.8,101.0,247.49,11652787200.0,2826204928.0,0.8317689,-15.175959,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DECK,Deckers Brands,Footwear,81.27,11.560454,,7.03,78.91,122.29,11067498496.0,1326978944.0,2.0023377,4.8277297,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DECK
DE,Deere & Company,Agricultural & Farm Machinery,675.74,37.603786,0.0096,17.97,433.0,705.88,182196666368.0,8600000512.0,3.8015454,6.5093293,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals",567.29,33.00116,0.0044,17.19,110.22,567.75,360690188288.0,17725999104.0,2.3855643,-256.4602,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DELL
DAL,Delta Air Lines,Passenger Airlines,79.91,13.252073,0.011,6.03,55.03,95.68,52550660096.0,7506999808.0,0.76955587,2.3958864,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
DVN,Devon Energy,Oil & Gas Exploration & Production,50.23,10.919565,0.0256,4.6,31.47,52.71,55253000192.0,8924000256.0,2.9419627,1.383556,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DXCM,Dexcom,Health Care Equipment,83.03,32.81818,,2.53,54.11,92.59,31332263936.0,1403200000.0,6.305293,11.953642,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXCM
FANG,Diamondback Energy,Oil & Gas Exploration & Production,204.97,39.041904,0.0215,5.25,134.3,216.9,57660788736.0,11779999744.0,3.5487928,1.5173635,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FANG
DLR,Digital Realty,Data Center REITs,188.58,91.54369,0.0259,2.06,146.23,208.14,71219822592.0,3210312960.0,10.540098,2.6130695,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
DG,Dollar General,Consumer Staples Merchandise Retail,124.58,16.179222,0.0189,7.7,95.11,158.23,27484438528.0,3581925888.0,0.62982816,2.958934,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,118.17,14.463892,,8.17,84.71,142.4,22172272640.0,2503800064.0,1.1048186,6.474714,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
D,Dominion Energy,Multi-Utilities,64.36,22.269896,0.0415,2.89,55.85,72.99,56606289920.0,8341000192.0,3.1241398,2.0277252,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
DPZ,Domino's,Restaurants,311.6,17.6644,0.0255,17.64,282.0,455.72,10308269056.0,1023513984.0,2.0502484,-2.587438,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,189.05,22.88741,0.0111,8.26,158.97,237.54,25461297152.0,1908990976.0,3.0237045,3.3049545,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
